bot,z1,z2,consensus_skill,consensus_seed_std,plain_skill_diagnostic,rayproj_skill_diagnostic,best_seed,price_mse_best,n_conditions,n_races
SterlingSight,0.1104479208371348,0.10712937189923137,-0.012478664649918172,0.008699249258620706,-0.012654853375558234,0.15058975815392112,404,0.0005843216586234401,4,4
TrumpTruthPulse,0.11467064829725004,0.04559253333691417,-0.012648550048796647,0.008461021658792367,-0.012878514942786612,0.10195126142872057,404,0.0005843216586234401,6,8
ReefAssay,0.14192826412439918,0.09486923377398664,-0.01418242285171569,0.004646680336131093,-0.005438438127236534,0.15804359588426728,404,0.0005843216586234401,33,33
ColinManual,0.09792438658641942,0.2981626605369636,-0.015069428636030485,0.04656821390032026,-0.004536440484237735,0.30190934037401307,404,0.0005843216586234401,5,5
Bot007,0.18414355918795827,0.12803168314588656,-0.01564354588524886,0.014627135802171228,-0.014524629177942078,0.20915017535594332,404,0.0005843216586234401,38,42
SoftStaplesBot,0.0028680368879413776,0.23101153958610662,-0.017503110904457247,0.018005060653351633,-0.017902358599756436,0.19306572385537404,404,0.0005843216586234401,145,188
MagnetMogul,0.1410857086594096,0.07201330072410726,-0.020018470846432983,0.008607141853001522,-0.0056488992850362765,0.13862928771919228,404,0.0005843216586234401,31,33
Cottonfundamental1,-0.006405247510144596,0.24236705677673664,-0.02019033668119032,0.02104102498955089,-0.03497009970139363,0.1972881981127499,404,0.0005843216586234401,30,32
OnMyanmarEnhanced,0.12002092655484857,0.14052286671765454,-0.02030756840405908,0.013207671741938765,-0.02080481879375841,0.18362269208905402,404,0.0005843216586234401,3,3
EquityTapeBot,0.030894468469500447,0.24448959418199853,-0.020502501381131265,0.01122360343071224,-0.027494773105074356,0.21991856148279285,404,0.0005843216586234401,224,259
Cftcsofts1,-0.00495214534388011,0.20425496735959947,-0.022764965702271708,0.017904610290138852,-0.03618738060419551,0.16651422932504645,404,0.0005843216586234401,29,31
GoldmanSachsBot,0.07376362729323302,0.13326157460991428,-0.023101507383457603,0.010870629683933248,-0.016190446772660225,0.15172110679185966,404,0.0005843216586234401,18,18
YellowcakeWatch,0.11732415642669397,0.019241976498266367,-0.06071757093251775,0.015262807614331238,-0.05861874644161987,0.08159686873655535,404,0.0005843216586234401,2,2
Nasscotton1,-8.753908402189685,-7.04075261957819,-0.07532392607485874,0.03294459313206142,-0.07503721474793619,-10.733618596393534,404,0.0005843216586234401,2,2
YahooAgsBot,-8.773118418409082,-7.056986205656975,-0.07554444789003473,0.032772281791685974,-0.07526786099202161,-10.757821937623863,404,0.0005843216586234401,2,2
ChristopherCalderwood,0.1008814585880335,0.17786802129985102,-0.07902031949832085,0.009526651887827095,-0.07902031949832085,0.20386454746991756,404,0.0005843216586234401,1,1
Microprediction,-1.1498943094880076,-0.7504262188956817,-0.25298786963569564,0.015322661182696677,-0.2506423624087387,-1.2653768457533028,404,0.0005843216586234401,2,2
jacobbarcelona,-1.1562633434066427,-0.7523245166261816,-0.2531114450840819,0.01529592687520017,-0.25076757698592456,-1.2705139634386047,404,0.0005843216586234401,2,2
