T,T_plus,delta,incumbents,method,n_inc,kendall,spearman,max_rank_move,frac_move_gt5,max_abs_dtheta_anch,mean_abs_dtheta_anch,p95_abs_dtheta_anch,max_abs_dtheta_med,mean_abs_dtheta_med,p95_abs_dtheta_med
2023-08-31,2023-11-30,3,all,lattice_u0.5855,30,0.9402298850574713,0.9897664071190211,3.0,0.0,0.2858779460037101,0.09552737202479553,0.23094899879390088,0.1929513869959536,0.036695683962800686,0.15607472440746806
2023-08-31,2023-11-30,3,all,lattice_u0.8,30,0.9494252873563218,0.9924360400444937,3.0,0.0,0.2729633038792849,0.0937603521552949,0.2184416433298022,0.1804930922647252,0.035605206810443775,0.14850720640164997
2023-09-30,2023-10-31,1,votes>=1000,bt,31,0.9698924731182796,0.9963709677419356,2.0,0.0,0.11712587201377161,0.03724093822612261,0.08347006464089562,0.1506915602061239,0.018433858347557144,0.05365499295660503
2023-09-30,2023-10-31,1,votes>=1000,lattice_u0.1,31,0.9741935483870968,0.9967741935483874,2.0,0.0,0.11682913459749955,0.036140864981088115,0.08047091738590473,0.14908823597214227,0.017731073802441592,0.05265693101765263
2023-09-30,2023-10-31,1,votes>=1000,lattice_u0.5855,31,0.9741935483870968,0.9967741935483874,2.0,0.0,0.11256697344306255,0.036608332358829036,0.08042087766312744,0.14584585309689557,0.0174514390837134,0.05087785354258957
2023-09-30,2023-10-31,1,votes>=1000,lattice_u0.8,31,0.9698924731182796,0.9963709677419356,2.0,0.0,0.12025736605161069,0.03597602831643527,0.07668860664120586,0.15243901092089135,0.017482557235107516,0.05075828387982781
2023-09-30,2023-10-31,1,all,bt,33,0.9583333333333334,0.9949866310160428,2.0,0.0,0.11712587201377161,0.038122038191302436,0.0931017490461164,0.1506915602061239,0.0196863060511906,0.05953606085376412
2023-09-30,2023-10-31,1,all,lattice_u0.1,33,0.9659090909090909,0.9959893048128343,2.0,0.0,0.11682913459749955,0.03690116304390127,0.08964452719136404,0.14908823597214227,0.01899818496007736,0.05738542581672132
2023-09-30,2023-10-31,1,all,lattice_u0.5855,33,0.9621212121212122,0.9953208556149733,2.0,0.0,0.11256697344306255,0.03758426666336589,0.09213146696613461,0.14584585309689557,0.018769562544612848,0.058852587312301585
2023-09-30,2023-10-31,1,all,lattice_u0.8,33,0.9621212121212122,0.9956550802139038,2.0,0.0,0.12025736605161069,0.036581996118819106,0.08553702458669943,0.15243901092089135,0.018715820668022624,0.053355379717418765
2023-09-30,2023-12-31,3,votes>=1000,bt,31,0.956989247311828,0.9939516129032261,3.0,0.0,0.15283131907872383,0.034970686784113046,0.11237369685085735,0.15928258840665954,0.03432683479325664,0.11805210463871091
2023-09-30,2023-12-31,3,votes>=1000,lattice_u0.1,31,0.956989247311828,0.9939516129032261,3.0,0.0,0.15037532551905586,0.03191487411237959,0.1103405111692515,0.15246186383614235,0.03177021664305274,0.112427049486338
2023-09-30,2023-12-31,3,votes>=1000,lattice_u0.5855,31,0.956989247311828,0.9939516129032261,3.0,0.0,0.1478485761910413,0.032417949089455896,0.1092938390978872,0.1490722158158433,0.03233901060097594,0.11051747872268919
2023-09-30,2023-12-31,3,votes>=1000,lattice_u0.8,31,0.9655913978494625,0.994758064516129,2.0,0.0,0.1440175554187949,0.032069122423773584,0.10778286079357313,0.14536895511051917,0.032010664940717776,0.1091342604852974
2023-09-30,2023-12-31,3,all,bt,33,0.9431818181818182,0.9893048128342246,5.0,0.0,0.15283131907872383,0.03468151145111049,0.11084829818866207,0.15928258840665954,0.03407668079303326,0.11637213366849919
2023-09-30,2023-12-31,3,all,lattice_u0.1,33,0.9431818181818182,0.9893048128342246,5.0,0.0,0.15037532551905586,0.03177292781245056,0.10859736599319109,0.15246186383614235,0.031637037462476855,0.11068390431027758
2023-09-30,2023-12-31,3,all,lattice_u0.5855,33,0.9431818181818182,0.9893048128342246,5.0,0.0,0.1478485761910413,0.03235231784743317,0.10778118944560673,0.1490722158158433,0.032278163509770176,0.10900482907040872
2023-09-30,2023-12-31,3,all,lattice_u0.8,33,0.9507575757575757,0.9899732620320856,4.0,0.0,0.1440175554187949,0.03199552792227997,0.10629058971952503,0.14536895511051917,0.03194061331698512,0.10764198941124929
2023-10-31,2023-11-30,1,votes>=1000,bt,34,0.9821746880570411,0.998472116119175,1.0,0.0,0.07155990005179647,0.01917134540917965,0.055897849838511794,0.05832285144282545,0.011555131125981633,0.04266080122954078
2023-10-31,2023-11-30,1,votes>=1000,lattice_u0.1,34,0.9893048128342247,0.999083269671505,1.0,0.0,0.0710878683584264,0.019200799431317382,0.05570035607251039,0.05732848311358707,0.011248105965407722,0.041940970827671065
2023-10-31,2023-11-30,1,votes>=1000,lattice_u0.5855,34,0.9786096256684493,0.9978609625668448,2.0,0.0,0.06826095309390712,0.018029031916437597,0.053297770986724044,0.056346696871539814,0.011077272546516083,0.04138351476435674
2023-10-31,2023-11-30,1,votes>=1000,lattice_u0.8,34,0.985739750445633,0.9987776928953398,1.0,0.0,0.0687508727556726,0.01933168121085559,0.05449723110102605,0.05460089100930687,0.011641079360839246,0.040347249354660324
2023-10-31,2023-11-30,1,all,bt,36,0.9714285714285715,0.9966537966537966,3.0,0.0,0.07155990005179647,0.01877460231144685,0.054739162521727086,0.05840604075557132,0.012314482058459994,0.04158530322550194
2023-10-31,2023-11-30,1,all,lattice_u0.1,36,0.980952380952381,0.9981981981981983,2.0,0.0,0.0710878683584264,0.018786133978753075,0.054590722456372684,0.05747151272656337,0.012032028722527023,0.04097436682450965
2023-10-31,2023-11-30,1,all,lattice_u0.5855,36,0.9746031746031747,0.9974259974259974,2.0,0.0,0.06826095309390712,0.017737086587769943,0.05217760969100331,0.05646537270304952,0.011829311522123086,0.040382029300145714
2023-10-31,2023-11-30,1,all,lattice_u0.8,36,0.9841269841269842,0.9987129987129987,1.0,0.0,0.0687508727556726,0.018885665894814135,0.0533886889368029,0.05481355294422774,0.01240241785624561,0.03945136912535804
2023-10-31,2024-01-31,3,votes>=1000,bt,34,0.9536541889483067,0.9920550038197096,4.0,0.0,0.14866219063951835,0.04394867578972033,0.10445935153727169,0.13511458690852962,0.032987352292664904,0.11571949344717491
2023-10-31,2024-01-31,3,votes>=1000,lattice_u0.1,34,0.9607843137254903,0.9926661573720396,4.0,0.0,0.11584441930215356,0.039676985228614396,0.10442681414670851,0.13319930854015422,0.030466254524121092,0.10591621977056115
2023-10-31,2024-01-31,3,votes>=1000,lattice_u0.5855,34,0.9500891265597149,0.9914438502673798,5.0,0.0,0.13151807446457106,0.04107016244205551,0.10384732532188166,0.13232090594388718,0.030986357868586233,0.10506235958965557
